longitude,latitude,housing_age,total_rooms,total_bedrooms,population,families,average_income,ocean_proximity,house_value
-124.09,40.88,26,2683,555.0,1353,526,2.4321,NEAR OCEAN,82100
-124.1,40.9,18,4032,798.0,1948,775,2.7321,NEAR OCEAN,92600
-124.23,40.81,52,1112,209.0,544,172,3.3462,NEAR OCEAN,50800
-124.06,40.88,12,2087,424.0,1603,438,2.5667,NEAR OCEAN,139500
-124.08,40.91,13,2522,719.0,1381,628,1.6667,NEAR OCEAN,78800
-124.08,41.36,29,1029,239.0,509,196,2.0156,NEAR OCEAN,62800
-124.06,41.13,22,3263,799.0,1384,578,2.4708,NEAR OCEAN,119400
-124.14,41.06,32,1020,215.0,421,198,3.0208,NEAR OCEAN,143400
-124.1,41.04,26,1633,380.0,890,370,1.9741,NEAR OCEAN,97900
-124.16,41.02,23,1672,385.0,1060,390,2.1726,NEAR OCEAN,75500
-124.08,40.99,18,3297,662.0,1554,578,2.6847,NEAR OCEAN,111300
-124.16,40.95,20,1075,214.0,529,196,3.1406,NEAR OCEAN,96000
-124.11,40.95,19,1734,365.0,866,342,2.96,NEAR OCEAN,81700
-124.09,40.95,18,2250,484.0,1248,472,2.5893,NEAR OCEAN,99600
-124.11,40.93,25,2392,474.0,1298,461,3.5076,NEAR OCEAN,73600
-124.11,40.93,17,1661,329.0,948,357,2.7639,NEAR OCEAN,90200
-124.08,40.94,18,1550,345.0,941,335,2.3147,NEAR OCEAN,70100
-124.09,40.92,12,2497,491.0,1153,462,2.8182,NEAR OCEAN,126900
-124.05,40.94,14,1452,217.0,516,181,5.0329,NEAR OCEAN,165600
-124.1,40.95,17,1485,345.0,823,316,1.8993,NEAR OCEAN,78400
-124.07,40.81,23,2103,411.0,1019,387,2.9911,NEAR OCEAN,119700
-124.1,40.73,33,644,129.0,334,121,3.9659,NEAR OCEAN,111800
-124.17,40.74,17,2026,338.0,873,313,4.0357,NEAR OCEAN,128900
-124.14,40.72,18,2581,499.0,1375,503,2.8446,NEAR OCEAN,100500
-124.14,40.67,23,580,117.0,320,109,4.2054,NEAR OCEAN,130600
-124.19,40.73,21,5694,1056.0,2907,972,3.5363,NEAR OCEAN,90100
-124.21,40.75,32,1218,331.0,620,268,1.6528,NEAR OCEAN,58100
-124.27,40.69,36,2349,528.0,1194,465,2.5179,NEAR OCEAN,79000
-124.18,40.62,35,952,178.0,480,179,3.0536,NEAR OCEAN,107000
-124.17,40.62,32,1595,309.0,706,277,2.8958,NEAR OCEAN,86400
-124.13,40.62,43,2131,399.0,910,389,2.5804,NEAR OCEAN,92100
-124.16,40.6,39,1322,283.0,642,292,2.4519,NEAR OCEAN,85100
-124.15,40.59,39,1186,238.0,539,212,2.0938,NEAR OCEAN,79600
-124.14,40.6,27,1148,206.0,521,219,4.025,NEAR OCEAN,128100
-124.14,40.59,22,1665,405.0,826,382,1.5625,NEAR OCEAN,66800
-124.14,40.59,17,2985,610.0,1544,584,2.178,NEAR OCEAN,76800
-124.26,40.58,52,2217,394.0,907,369,2.3571,NEAR OCEAN,111400
-124.23,40.54,52,2694,453.0,1152,435,3.0806,NEAR OCEAN,106700
-124.35,40.54,52,1820,300.0,806,270,3.0147,NEAR OCEAN,94600
-124.25,40.28,32,1430,419.0,434,187,1.9417,NEAR OCEAN,76100
-124.08,40.06,17,1319,267.0,393,163,2.625,NEAR OCEAN,135600
-118.25,33.79,32,1205,340.0,1799,370,2.375,NEAR OCEAN,128000
-118.24,33.8,28,636,169.0,788,143,3.6161,NEAR OCEAN,131300
-118.23,33.8,26,239,135.0,165,112,1.3333,NEAR OCEAN,187500
-118.26,33.78,27,1672,491.0,1723,462,2.0458,NEAR OCEAN,174500
-118.25,33.79,34,1349,371.0,1716,380,2.7143,NEAR OCEAN,138100
-118.25,33.79,38,1730,460.0,1724,424,2.7308,NEAR OCEAN,150400
-118.25,33.79,39,981,286.0,1183,298,1.9208,NEAR OCEAN,139800
-118.26,33.78,21,2188,706.0,2265,652,1.9923,NEAR OCEAN,164700
-118.26,33.78,35,1239,473.0,1524,387,2.0956,NEAR OCEAN,154700
-118.25,33.78,32,296,139.0,511,133,1.4444,NEAR OCEAN,182100
-118.24,33.78,24,574,173.0,784,162,2.25,NEAR OCEAN,152300
-118.26,33.78,36,2191,739.0,2931,692,2.1311,NEAR OCEAN,163100
-118.26,33.77,36,886,253.0,809,219,2.4545,NEAR OCEAN,164200
-118.27,33.77,26,2272,694.0,2567,595,1.9964,NEAR OCEAN,150600
-118.27,33.77,39,1731,485.0,2115,478,1.5369,NEAR OCEAN,141300
-118.27,33.76,46,22,11.0,32,7,3.125,NEAR OCEAN,112500
-118.28,33.75,41,1305,381.0,1384,369,2.45,NEAR OCEAN,186800
-118.28,33.75,18,393,189.0,429,188,1.8393,NEAR OCEAN,187500
-118.28,33.74,40,1751,512.0,1939,503,1.5394,NEAR OCEAN,200000
-118.29,33.75,27,1650,443.0,1359,386,2.5795,NEAR OCEAN,192400
-118.29,33.74,29,1503,411.0,1368,390,2.1473,NEAR OCEAN,195300
-118.21,33.83,38,793,193.0,601,187,2.8837,NEAR OCEAN,176100
-118.19,33.84,24,1228,320.0,537,273,2.25,NEAR OCEAN,192000
-118.19,33.85,30,3533,1061.0,2678,1033,2.2417,NEAR OCEAN,151900
-118.19,33.85,49,1073,260.0,725,272,3.8026,NEAR OCEAN,149700
-118.19,33.85,45,1167,302.0,773,287,3.2798,NEAR OCEAN,150300
-118.2,33.84,35,3405,779.0,1953,671,2.7813,NEAR OCEAN,159200
-118.2,33.82,43,1758,347.0,954,312,5.2606,NEAR OCEAN,198900
-118.19,33.82,11,872,203.0,422,221,4.6364,NEAR OCEAN,156300
-118.19,33.81,21,1835,427.0,1038,384,4.4559,NEAR OCEAN,198500
-118.2,33.81,43,3013,574.0,1525,529,4.95,NEAR OCEAN,194000
-118.2,33.82,34,2807,768.0,2217,744,2.4286,NEAR OCEAN,204800
-118.19,33.81,23,954,390.0,804,373,2.5833,NEAR OCEAN,181300
-118.21,33.82,34,1719,398.0,1444,372,2.8438,NEAR OCEAN,139300
-118.21,33.81,43,905,199.0,764,204,3.3214,NEAR OCEAN,162200
-118.21,33.81,40,1815,428.0,1807,413,3.0882,NEAR OCEAN,160700
-118.21,33.82,33,1278,311.0,1157,320,3.5054,NEAR OCEAN,146800
-118.22,33.82,30,1680,469.0,1779,429,3.6086,NEAR OCEAN,146300
-118.21,33.82,45,455,92.0,394,89,4.9562,NEAR OCEAN,165700
-118.21,33.82,43,1005,199.0,723,191,4.3424,NEAR OCEAN,162500
-118.22,33.82,17,5357,1332.0,3030,1266,1.9311,NEAR OCEAN,138100
-118.21,33.81,45,1693,337.0,1255,333,3.6923,NEAR OCEAN,159700
-118.21,33.81,45,1816,398.0,1524,388,3.8586,NEAR OCEAN,157900
-118.22,33.81,38,1486,359.0,1345,326,3.3988,NEAR OCEAN,147800
-118.22,33.81,41,726,166.0,602,183,3.7885,NEAR OCEAN,156900
-118.21,33.8,45,1160,274.0,1095,269,2.7308,NEAR OCEAN,139000
-118.21,33.8,41,1251,279.0,1053,278,3.2778,NEAR OCEAN,150800
-118.22,33.8,36,1285,347.0,1291,337,3.7708,NEAR OCEAN,157100
-118.22,33.8,33,1984,477.0,1764,440,3.875,NEAR OCEAN,165100
-118.22,33.79,28,3008,629.0,2537,596,2.3,NEAR OCEAN,137500
-118.21,33.79,39,1598,458.0,1691,399,2.3605,NEAR OCEAN,141800
-118.21,33.79,32,2020,613.0,2557,562,2.1397,NEAR OCEAN,145300
-118.21,33.8,44,1387,280.0,984,302,4.25,NEAR OCEAN,143100
-118.19,33.8,38,2010,595.0,1535,525,1.9848,NEAR OCEAN,160400
-118.19,33.79,29,3497,1096.0,2994,919,1.8109,NEAR OCEAN,137500
-118.2,33.79,47,767,195.0,569,195,2.9514,NEAR OCEAN,185200
-118.2,33.79,48,2105,592.0,1807,539,2.7183,NEAR OCEAN,190400
-118.2,33.79,47,2549,626.0,1388,606,3.0135,NEAR OCEAN,192700
-118.2,33.8,52,1786,445.0,1090,430,2.8988,NEAR OCEAN,194900
-118.19,33.8,41,2125,591.0,1604,555,2.9943,NEAR OCEAN,190600
-118.2,33.8,42,4577,1146.0,2749,1094,2.5012,NEAR OCEAN,197500
-118.2,33.8,52,1009,216.0,614,231,4.0074,NEAR OCEAN,200800
-118.18,33.8,42,2301,621.0,2114,561,2.0579,NEAR OCEAN,132700
-118.19,33.8,36,2326,729.0,2635,657,2.1985,NEAR OCEAN,141800
-118.18,33.79,42,1571,435.0,1631,417,1.6384,NEAR OCEAN,128000
-118.19,33.79,41,2114,612.0,2357,529,1.7938,NEAR OCEAN,142600
-118.19,33.79,43,1823,600.0,2339,560,1.6792,NEAR OCEAN,130600
-118.18,33.8,30,2734,758.0,2951,691,1.7689,NEAR OCEAN,117600
-118.17,33.79,36,948,303.0,1042,301,1.55,NEAR OCEAN,100000
-118.18,33.81,27,471,132.0,315,96,1.75,NEAR OCEAN,154200
-118.16,33.8,9,3564,835.0,1530,807,5.1806,NEAR OCEAN,175000
-118.16,33.79,25,5463,1265.0,3010,1179,3.233,NEAR OCEAN,199100
-118.17,33.8,26,1589,380.0,883,366,3.5313,NEAR OCEAN,187500
-118.18,33.8,15,2407,589.0,1591,506,3.0513,NEAR OCEAN,148100
-118.14,33.8,43,2506,531.0,1230,543,3.4211,NEAR OCEAN,203900
-118.15,33.79,5,3700,993.0,1657,848,3.7826,NEAR OCEAN,196300
-118.15,33.79,25,4013,1097.0,2297,969,3.0453,NEAR OCEAN,185900
-118.15,33.78,17,1584,435.0,904,406,2.0875,NEAR OCEAN,181300
-118.16,33.78,14,1709,558.0,1939,520,1.9808,NEAR OCEAN,139100
-118.16,33.78,33,2048,585.0,2074,597,2.0156,NEAR OCEAN,152700
-118.16,33.79,25,3742,1180.0,3916,1063,2.4,NEAR OCEAN,153700
-118.16,33.79,26,3061,844.0,2135,769,2.875,NEAR OCEAN,164000
-118.17,33.79,32,2171,672.0,3002,648,2.375,NEAR OCEAN,139700
-118.17,33.79,30,1349,519.0,2646,552,1.9318,NEAR OCEAN,115900
-118.18,33.78,36,1697,550.0,1379,434,1.2746,NEAR OCEAN,129700
-118.18,33.79,27,1580,510.0,1896,448,2.0186,NEAR OCEAN,130000
-118.17,33.79,28,1219,408.0,1816,348,1.7589,NEAR OCEAN,118300
-118.18,33.79,20,1255,360.0,1201,318,1.2206,NEAR OCEAN,162500
-118.19,33.78,29,1170,369.0,1398,373,2.2543,NEAR OCEAN,156300
-118.19,33.79,37,1834,551.0,1967,476,2.137,NEAR OCEAN,126600
-118.19,33.79,30,3107,994.0,3543,850,1.9387,NEAR OCEAN,141700
-118.19,33.78,24,225,72.0,439,71,2.8533,NEAR OCEAN,137500
-118.2,33.79,25,2851,968.0,3744,906,2.0675,NEAR OCEAN,116700
-118.21,33.79,33,32,18.0,96,36,4.5938,NEAR OCEAN,112500
-118.21,33.79,44,121,29.0,153,30,2.1964,NEAR OCEAN,150000
-118.22,33.79,48,143,41.0,222,50,1.7,NEAR OCEAN,104200
-118.23,33.76,21,49,14.0,29,16,5.0,NEAR OCEAN,87500
-118.19,33.78,35,1511,593.0,914,539,0.9318,NEAR OCEAN,187500
-118.2,33.78,46,1889,651.0,1545,587,1.7064,NEAR OCEAN,175000
-118.2,33.78,48,1766,497.0,1908,466,1.9872,NEAR OCEAN,168800
-118.2,33.78,52,2662,893.0,3018,763,2.3305,NEAR OCEAN,162500
-118.19,33.77,35,1574,603.0,820,514,1.2321,NEAR OCEAN,137500
-118.2,33.77,40,2034,899.0,1257,797,1.2864,NEAR OCEAN,131300
-118.2,33.77,24,2404,819.0,1566,753,1.5076,NEAR OCEAN,145800
-118.2,33.77,22,1118,437.0,1190,399,1.9797,NEAR OCEAN,143800
-118.2,33.77,52,1375,457.0,1089,317,2.2344,NEAR OCEAN,200000
-118.2,33.77,41,1158,396.0,1209,336,2.7813,NEAR OCEAN,129200
-118.2,33.77,42,517,233.0,995,212,2.225,NEAR OCEAN,106300
-118.18,33.77,45,1434,627.0,735,518,1.5,NEAR OCEAN,162500
-118.19,33.76,25,1442,392.0,632,385,4.6629,NEAR OCEAN,162500
-118.19,33.77,52,1562,616.0,692,512,1.4048,NEAR OCEAN,200000
-118.18,33.77,39,1645,547.0,1339,499,1.5536,NEAR OCEAN,155000
-118.18,33.77,36,1833,688.0,1128,620,1.1483,NEAR OCEAN,112500
-118.19,33.77,21,2103,727.0,1064,603,1.6178,NEAR OCEAN,137500
-118.19,33.77,31,1711,691.0,1092,568,1.0714,NEAR OCEAN,150000
-118.18,33.78,20,1852,556.0,1712,556,1.4565,NEAR OCEAN,152500
-118.18,33.78,17,1419,436.0,1300,360,2.0769,NEAR OCEAN,100000
-118.18,33.78,52,1180,381.0,1046,332,1.5603,NEAR OCEAN,162500
-118.19,33.78,31,1648,484.0,898,457,1.5844,NEAR OCEAN,162500
-118.19,33.78,8,992,393.0,694,331,2.5544,NEAR OCEAN,162500
-118.19,33.78,29,1013,392.0,1083,316,1.8438,NEAR OCEAN,162500
-118.19,33.78,42,1021,300.0,533,187,1.8036,NEAR OCEAN,175000
-118.17,33.78,29,2920,962.0,3580,772,1.7393,NEAR OCEAN,140200
-118.17,33.78,23,3768,1261.0,3940,1098,1.9647,NEAR OCEAN,186200
-118.18,33.78,26,3042,1253.0,4812,1141,1.7701,NEAR OCEAN,146200
-118.17,33.78,44,2364,746.0,3184,672,1.9180000000000001,NEAR OCEAN,147500
-118.17,33.77,36,2933,881.0,2077,838,2.2538,NEAR OCEAN,181300
-118.17,33.77,45,2508,797.0,1340,720,2.6786,NEAR OCEAN,191100
-118.17,33.77,38,2239,721.0,984,684,2.346,NEAR OCEAN,165600
-118.17,33.77,39,2953,878.0,1379,785,2.1378,NEAR OCEAN,180400
-118.17,33.77,12,4409,1401.0,3068,1262,2.2808,NEAR OCEAN,154700
-118.18,33.77,29,1776,606.0,1391,488,1.1295,NEAR OCEAN,137500
-118.18,33.77,30,1418,439.0,720,417,2.6371,NEAR OCEAN,159400
-118.18,33.77,41,2048,601.0,852,533,2.5726,NEAR OCEAN,193800
-118.18,33.77,49,2297,759.0,1105,629,1.8388,NEAR OCEAN,175000
-118.16,33.78,15,4798,1374.0,3087,1212,2.127,NEAR OCEAN,163300
-118.16,33.78,29,3684,1301.0,3891,1143,1.6955,NEAR OCEAN,179700
-118.15,33.78,12,4436,1133.0,2176,1002,3.5812,NEAR OCEAN,198600
-122.93,38.02,28,1284,265.0,628,219,3.5469,NEAR OCEAN,200000
-122.9,38.28,52,1275,218.0,627,185,2.3482,NEAR OCEAN,163500
-123.71,39.88,42,1518,383.0,656,303,1.4952,NEAR OCEAN,69800
-123.84,39.83,19,1461,340.0,515,227,1.5278,NEAR OCEAN,145800
-123.73,39.17,20,4620,1042.0,1745,794,2.375,NEAR OCEAN,158800
-123.53,38.93,38,1706,355.0,506,211,2.5625,NEAR OCEAN,165600
-123.69,38.9,17,2206,478.0,1140,428,2.1985,NEAR OCEAN,95300
-123.59,38.8,17,5202,1037.0,1742,803,3.1201,NEAR OCEAN,176100
-121.79,36.85,28,1049,235.0,705,208,2.7321,NEAR OCEAN,150000
-121.39,36.16,28,1057,249.0,288,130,3.0526,NEAR OCEAN,146900
-121.32,35.95,31,372,68.0,479,67,3.5547,NEAR OCEAN,200000
-121.89,36.59,18,2700,937.0,1042,744,3.1364,NEAR OCEAN,150000
-117.61,33.43,33,1150,383.0,604,317,2.3545,NEAR OCEAN,187500
-117.62,33.42,27,1005,266.0,460,243,3.1029,NEAR OCEAN,190600
-117.98,33.64,20,1851,495.0,792,363,3.8187,NEAR OCEAN,137500
-117.16,32.75,49,1566,494.0,643,419,1.9637,NEAR OCEAN,137500
-117.16,32.75,19,5430,1593.0,2496,1484,2.9112,NEAR OCEAN,199100
-117.16,32.75,34,1785,558.0,804,490,2.2687,NEAR OCEAN,200000
-117.15,32.76,40,1809,474.0,826,456,2.6518,NEAR OCEAN,179800
-117.15,32.76,37,1921,502.0,811,472,2.75,NEAR OCEAN,175000
-117.15,32.75,40,2261,579.0,903,525,2.465,NEAR OCEAN,198700
-117.15,32.75,9,2818,821.0,851,555,2.6181,NEAR OCEAN,204200
-117.15,32.75,27,3166,867.0,1332,817,2.6742,NEAR OCEAN,171400
-117.14,32.75,35,1391,329.0,726,317,2.6818,NEAR OCEAN,159400
-117.14,32.74,47,1494,327.0,689,304,3.125,NEAR OCEAN,172700
-117.14,32.74,16,6075,1816.0,2592,1634,2.5553,NEAR OCEAN,178100
-117.14,32.75,29,1961,565.0,1002,569,2.2813,NEAR OCEAN,118100
-117.14,32.75,25,1908,513.0,956,467,2.4828,NEAR OCEAN,133300
-117.14,32.75,37,1832,525.0,955,488,2.7852,NEAR OCEAN,129200
-117.14,32.75,19,1358,613.0,766,630,1.0353,NEAR OCEAN,150000
-117.14,32.75,20,1182,379.0,678,326,2.1937,NEAR OCEAN,162500
-117.14,32.75,27,1551,464.0,880,400,2.4167,NEAR OCEAN,131300
-117.14,32.76,28,3025,756.0,1328,695,2.694,NEAR OCEAN,164100
-117.14,32.76,35,2539,661.0,1308,629,2.6777,NEAR OCEAN,146400
-117.14,32.76,32,2587,681.0,1246,650,2.1727,NEAR OCEAN,145500
-117.14,32.76,35,1785,493.0,965,506,2.0792,NEAR OCEAN,160000
-117.13,32.77,30,2582,650.0,1098,603,2.8281,NEAR OCEAN,171700
-117.13,32.76,29,2568,682.0,1191,642,2.1094,NEAR OCEAN,162500
-117.13,32.76,41,1545,420.0,747,415,2.375,NEAR OCEAN,154400
-117.13,32.76,27,2280,695.0,1235,664,1.9392,NEAR OCEAN,142900
-117.13,32.76,33,1591,461.0,794,425,2.6333,NEAR OCEAN,140000
-117.13,32.76,22,2623,732.0,1283,718,2.1563,NEAR OCEAN,127100
-117.14,32.76,24,3523,991.0,1775,873,2.1273,NEAR OCEAN,142300
-117.13,32.75,24,1877,519.0,898,483,2.2264,NEAR OCEAN,112500
-117.13,32.75,28,2279,671.0,1166,623,1.95,NEAR OCEAN,150000
-117.13,32.75,23,3999,1182.0,2051,1130,2.1292,NEAR OCEAN,135000
-117.13,32.75,31,2336,656.0,1186,609,2.5872,NEAR OCEAN,130600
-117.13,32.75,50,1476,354.0,698,354,3.0,NEAR OCEAN,168800
-117.13,32.74,52,1512,321.0,651,321,3.6852,NEAR OCEAN,185300
-117.13,32.75,37,4142,1031.0,1936,968,2.693,NEAR OCEAN,174100
-117.12,32.75,37,2344,546.0,1134,513,2.4394,NEAR OCEAN,118300
-117.12,32.74,46,1898,441.0,978,439,3.2708,NEAR OCEAN,155200
-117.12,32.74,52,1969,389.0,877,424,3.79,NEAR OCEAN,163400
-117.13,32.75,20,2271,602.0,992,520,2.2599,NEAR OCEAN,157600
-117.12,32.75,15,2671,724.0,1800,646,2.1394,NEAR OCEAN,106700
-117.12,32.75,17,2060,633.0,1251,602,1.9886,NEAR OCEAN,119200
-117.12,32.75,20,1406,413.0,850,412,2.3261,NEAR OCEAN,114600
-117.12,32.75,25,2222,634.0,1025,568,1.64,NEAR OCEAN,130000
-117.12,32.76,23,2681,717.0,1279,648,2.1597,NEAR OCEAN,116100
-117.12,32.76,33,2279,591.0,1250,576,2.4297,NEAR OCEAN,139000
-117.12,32.76,43,2336,644.0,1203,614,2.3594,NEAR OCEAN,127800
-117.12,32.76,26,1221,331.0,620,296,2.4821,NEAR OCEAN,123600
-117.11,32.76,29,2030,545.0,1014,518,2.2409,NEAR OCEAN,114200
-117.12,32.76,28,2160,608.0,1339,571,1.9152,NEAR OCEAN,128100
-117.12,32.76,27,1426,364.0,792,353,2.0673,NEAR OCEAN,118800
-117.12,32.76,28,1605,501.0,936,460,2.5991,NEAR OCEAN,147500
-117.12,32.76,17,1559,462.0,821,428,2.0139,NEAR OCEAN,150000
-117.12,32.76,41,1469,421.0,803,395,2.1856,NEAR OCEAN,120500
-117.11,32.77,48,1502,272.0,590,265,2.5952,NEAR OCEAN,190300
-117.11,32.77,50,1729,355.0,617,337,3.6705,NEAR OCEAN,167000
-117.12,32.77,48,2012,422.0,893,394,2.7928,NEAR OCEAN,175000
-117.12,32.77,43,2167,464.0,977,461,3.125,NEAR OCEAN,192200
-117.09,32.76,44,1139,214.0,470,217,3.5481,NEAR OCEAN,203100
-117.11,32.76,31,2293,549.0,1108,557,3.3854,NEAR OCEAN,204400
-117.1,32.76,30,1835,474.0,934,415,2.875,NEAR OCEAN,139600
-117.11,32.76,28,1457,397.0,672,342,1.9799,NEAR OCEAN,122700
-117.11,32.76,21,2226,600.0,1085,533,2.2604,NEAR OCEAN,126300
-117.11,32.76,19,2188,616.0,1304,607,2.0852,NEAR OCEAN,114400
-117.1,32.75,17,871,379.0,955,351,1.4375,NEAR OCEAN,96400
-117.1,32.75,11,2393,726.0,1905,711,1.3448,NEAR OCEAN,91300
-117.11,32.75,11,1607,478.0,1384,450,2.05,NEAR OCEAN,100000
-117.11,32.75,21,2127,658.0,1812,603,1.6896,NEAR OCEAN,100000
-117.11,32.75,18,1943,587.0,1329,522,1.7696,NEAR OCEAN,103100
-117.09,32.76,29,1650,496.0,882,445,2.2287,NEAR OCEAN,140000
-117.09,32.76,31,1235,387.0,816,397,1.5517,NEAR OCEAN,122500
-117.1,32.76,31,987,267.0,619,250,2.9286,NEAR OCEAN,151800
-117.1,32.75,16,2426,799.0,1505,754,1.6444,NEAR OCEAN,103400
-117.1,32.75,21,2063,609.0,1686,558,1.4828,NEAR OCEAN,94800
-117.1,32.75,20,2355,722.0,1848,576,2.0036,NEAR OCEAN,99200
-117.1,32.75,15,2422,774.0,2120,715,1.0617,NEAR OCEAN,92400
-117.1,32.75,23,1858,551.0,1506,492,1.7446,NEAR OCEAN,85200
-117.11,32.75,46,695,182.0,601,195,2.4219,NEAR OCEAN,90600
-117.11,32.75,20,1667,469.0,1292,445,2.0893,NEAR OCEAN,101100
-117.11,32.75,34,2131,594.0,1373,562,2.113,NEAR OCEAN,102100
-117.12,32.75,13,2795,773.0,1869,690,2.1767,NEAR OCEAN,101800
-117.1,32.74,14,2361,601.0,1831,526,1.6102,NEAR OCEAN,93400
-117.11,32.74,25,2846,644.0,2272,632,2.2,NEAR OCEAN,98700
-117.11,32.74,25,684,190.0,665,187,2.4524,NEAR OCEAN,90300
-117.11,32.74,33,1126,267.0,621,241,3.2422,NEAR OCEAN,123100
