longitude,latitude,total_rooms,house_value
-122.23,37.79,1175,106300
-122.22,37.79,2343,132500
-122.23,37.79,610,122700
-122.23,37.79,930,113300
-122.22,37.79,1487,109500
-122.22,37.79,3424,164700
-122.21,37.79,762,125000
-122.22,37.79,2366,124700
-122.22,37.79,1826,136700
-122.22,37.79,3049,141700
-122.2,37.79,1640,150000
-122.21,37.79,1543,138800
-122.21,37.79,2364,139200
-122.21,37.79,1745,143800
-122.21,37.8,2003,156500
-122.21,37.8,2018,151000
-122.2,37.8,3045,273000
-122.2,37.8,1547,217100
-122.21,37.8,3519,187100
-122.2,37.8,2070,239600
-122.21,37.8,1321,229700
-122.19,37.8,1694,257300
-122.19,37.8,1938,246900
-122.19,37.79,968,179900
-122.2,37.79,1060,169600
-122.2,37.8,2041,203300
-122.19,37.8,1813,263400
-122.19,37.79,2718,231800
-122.19,37.79,3144,140500
-122.2,37.79,1802,126000
-122.2,37.79,882,122000
-122.2,37.79,1621,134700
-122.21,37.79,2115,139400
-122.2,37.79,2021,115400
-122.21,37.78,2239,137300
-122.21,37.78,1477,137000
-122.21,37.78,1056,142600
-122.21,37.78,898,137500
-122.22,37.78,2968,111700
-122.21,37.78,1702,126800
-122.21,37.78,881,111300
-122.22,37.77,494,114800
-122.22,37.78,1776,102300
-122.22,37.78,1678,131900
-122.22,37.78,1637,119100
-122.21,37.76,1420,80600
-122.21,37.77,591,80600
-122.21,37.77,745,88800
-122.2,37.77,2272,102400
-122.21,37.77,1234,98700
-122.21,37.77,1017,100000
-122.19,37.77,932,92300
-122.2,37.77,2689,94800
-122.2,37.77,1547,102000
-122.2,37.78,2300,158400
-122.2,37.78,1752,121600
-122.2,37.78,1867,129100
-122.2,37.77,2430,121400
-122.21,37.78,1729,102800
-122.19,37.78,1026,160000
-122.19,37.77,2170,143900
-122.19,37.77,2329,151200
-122.19,37.78,2492,164400
-122.19,37.78,2198,156500
-122.18,37.78,142,225000
-122.19,37.78,1183,174200
-122.19,37.78,1070,166900
-122.2,37.78,1766,163500
-122.18,37.79,617,253000
-122.18,37.79,1411,240700
-122.18,37.79,2109,208100
-122.19,37.79,1229,198100
-122.19,37.79,954,172800
-122.18,37.81,1643,336700
-122.18,37.8,1355,318200
-122.18,37.8,2317,285800
-122.13,37.77,2459,293000
-122.16,37.79,12842,371000
-122.17,37.78,1524,157300
-122.17,37.77,3326,135300
-122.18,37.78,1985,136700
-122.18,37.78,1642,160700
-122.17,37.78,893,140600
-122.17,37.78,653,144000
-122.16,37.77,1256,161900
-122.16,37.77,977,156300
-122.16,37.77,2324,176000
-122.16,37.77,1583,145800
-122.17,37.77,1612,141900
-122.17,37.77,2424,90700
-122.17,37.76,1594,90600
-122.17,37.76,2118,107900
-122.18,37.76,1575,107000
-122.17,37.76,1764,98200
-122.18,37.76,1187,89500
-122.18,37.76,754,93800
-122.18,37.76,2308,96700
-122.18,37.77,909,97500
-122.18,37.77,1180,97300
-122.18,37.76,2018,91200
-122.19,37.76,1368,91400
-122.18,37.77,2744,96200
-122.18,37.77,2107,120100
-122.18,37.77,1748,100000
-122.19,37.76,2024,94700
-122.2,37.76,1116,85700
-122.19,37.77,2036,89300
-122.19,37.77,1852,101400
-122.19,37.76,921,72500
-122.19,37.76,995,74100
-122.2,37.75,606,70000
-122.2,37.76,2680,84600
-122.19,37.76,1493,81800
-122.19,37.75,2207,81400
-122.19,37.75,856,81800
-122.19,37.76,1293,85800
-122.19,37.74,847,87100
-122.18,37.74,541,83500
-122.19,37.73,1066,79700
-122.19,37.74,707,83400
-122.19,37.73,1528,84700
-122.18,37.73,909,80000
-122.18,37.73,1391,76400
-122.18,37.73,548,79700
-122.18,37.73,4074,82400
-122.17,37.74,1613,97700
-122.17,37.74,463,97200
-122.17,37.74,818,101600
-122.17,37.73,1473,86500
-122.18,37.74,504,90500
-122.17,37.74,1026,107600
-122.17,37.74,769,84200
-122.18,37.74,2103,88900
-122.18,37.75,330,80700
-122.18,37.75,941,87100
-122.17,37.75,992,85100
-122.18,37.75,990,82000
-122.19,37.75,1126,82800
-122.18,37.75,1036,84600
-122.18,37.75,1047,82100
-122.17,37.76,1280,89300
-122.17,37.75,1587,98300
-122.17,37.75,1257,92300
-122.17,37.75,1218,88800
-122.17,37.75,1751,90000
-122.16,37.76,2299,95500
-122.16,37.75,2457,91700
-122.17,37.75,998,100400
-122.17,37.76,1685,94800
-122.16,37.76,1827,164300
-122.16,37.76,2781,155500
-122.15,37.76,1823,196900
-122.14,37.77,2229,279100
-122.14,37.76,1513,252800
-122.13,37.76,3266,275400
-122.12,37.75,1809,250000
-122.12,37.75,794,329800
-122.14,37.75,690,195500
-122.14,37.75,1334,255900
-122.13,37.75,414,311100
-122.13,37.75,768,330000
-122.13,37.74,4400,248900
-122.16,37.75,954,142900
-122.15,37.75,1445,126300
-122.15,37.75,1938,135800
-122.15,37.74,856,130600
-122.16,37.75,1790,107900
-122.16,37.75,617,111100
-122.15,37.74,1383,122000
-122.15,37.74,1325,118000
-122.16,37.75,1227,95200
-122.16,37.75,667,94300
-122.17,37.74,1223,92500
-122.17,37.75,1379,91800
-122.16,37.74,1534,109400
-122.16,37.74,1029,129500
-122.16,37.74,771,143400
-122.16,37.74,824,98200
-122.16,37.74,1097,103100
-122.29,37.9,1283,276800
-122.29,37.9,1604,270900
-122.29,37.89,2248,246200
-122.3,37.9,2263,224200
-122.29,37.89,1571,229100
-122.3,37.89,1520,211600
-122.3,37.9,5083,256100
-122.3,37.89,1077,206300
-122.3,37.89,1248,221300
-122.33,37.89,1342,207400
-122.34,37.88,3061,350000
-122.29,37.89,3171,218200
-122.29,37.88,1211,216700
-122.29,37.89,979,270600
-122.29,37.89,2269,261400
-122.28,37.88,1844,261300
-122.29,37.89,2178,232200
-122.27,37.9,1650,375400
-122.26,37.9,1927,357300
-122.27,37.9,2079,374400
-122.27,37.9,1803,358800
-122.27,37.9,2041,417500
-122.27,37.89,3046,430500
-122.28,37.9,2318,362900
-122.28,37.9,2003,397000
-122.28,37.9,2261,346800
-122.28,37.89,1225,327100
-122.28,37.89,2315,290100
-122.28,37.89,2070,292000
-122.28,37.89,2616,270900
-122.27,37.89,2640,371100
-122.27,37.89,1978,335600
-122.26,37.9,2220,371300
-122.25,37.89,1125,344000
-122.26,37.89,3078,342200
-122.26,37.89,3706,370900
-122.25,37.89,3000,350000
-122.25,37.89,2863,368600
-122.26,37.88,2551,391800
-122.26,37.88,2255,415300
-122.27,37.88,3360,284900
-122.27,37.88,1693,287500
-122.27,37.88,2252,272900
-122.28,37.88,2495,259600
-122.28,37.88,1193,254500
-122.28,37.88,1172,235600
-122.29,37.88,2159,218400
-122.29,37.88,2365,229200
-122.29,37.88,1895,192100
-122.29,37.88,1650,179300
-122.3,37.88,453,187500
-122.3,37.88,409,138800
-122.3,37.87,503,150000
-122.3,37.86,499,140600
-122.29,37.85,477,120000
-122.3,37.88,1647,144800
-122.3,37.87,3123,144800
-122.28,37.88,957,245500
-122.28,37.87,589,200000
-122.28,37.87,2026,173700
-122.29,37.87,1829,185600
-122.29,37.87,895,182600
-122.28,37.88,1909,227900
-122.28,37.87,3022,220700
-122.28,37.87,1777,212000
-122.27,37.88,2803,271400
-122.27,37.87,1465,268800
-122.27,37.88,2619,277800
-122.26,37.88,1149,332500
-122.26,37.88,2363,338900
-122.26,37.88,2604,287500
-122.25,37.87,685,384600
-122.25,37.87,1756,371400
-122.25,37.87,1204,350000
-122.25,37.87,609,500001
-122.26,37.87,1087,175000
-122.26,37.87,2773,241700
-122.27,37.87,3218,216700
-122.27,37.87,1350,211300
-122.27,37.87,3084,210200
-122.28,37.86,938,196400
-122.28,37.87,1813,191700
-122.28,37.87,1233,182300
-122.29,37.87,2539,175000
-122.29,37.87,1267,165900
-122.29,37.86,1665,156900
-122.28,37.86,1659,164300
-122.29,37.87,2225,150000
-122.29,37.86,2485,150500
-122.28,37.86,2031,169900
-122.28,37.86,2932,147400
-122.28,37.85,2246,152700
-122.27,37.86,2052,182700
-122.28,37.86,1999,179300
-122.28,37.86,3007,157700
-122.28,37.86,2214,153100
-122.27,37.86,1088,250000
-122.27,37.86,834,206300
-122.27,37.86,1769,218800
-122.27,37.86,2307,198200
-122.26,37.86,5161,253600
-122.26,37.86,3497,257400
-122.26,37.86,3774,289500
-122.26,37.86,2888,241700
-122.25,37.86,2153,489600
-122.25,37.86,1389,446200
-122.25,37.86,1709,456300
-122.25,37.86,1587,336800
-122.24,37.86,1668,500001
-122.24,37.85,3726,500001
-122.25,37.86,4048,376900
-122.26,37.85,3618,309600
-122.27,37.85,4076,182300
-122.27,37.85,2077,172700
-122.27,37.85,1279,150800
-122.27,37.85,1974,153600
-122.27,37.85,335,106300
-122.27,37.85,1375,142300
-122.28,37.85,610,119400
-122.28,37.85,1025,147900
-122.28,37.85,2063,132900
-122.29,37.84,1872,132500
-122.28,37.83,3108,126900
-122.3,37.84,7355,143800
-122.23,37.83,2990,500001
-122.22,37.82,2492,500001
-122.22,37.82,2991,500001
-122.23,37.82,3242,500001
-122.23,37.82,3051,466100
-122.23,37.82,3494,500001
-122.24,37.83,1757,457800
-122.24,37.83,2449,471600
-122.23,37.82,1611,500001
-122.24,37.82,3665,398600
-122.25,37.82,2474,340700
-122.23,37.76,3037,289900
-122.23,37.76,2269,335300
-122.23,37.76,1316,333000
-122.24,37.77,1153,241000
-122.23,37.77,772,189600
-122.24,37.77,1711,206300
-122.25,37.77,2650,215700
-122.25,37.77,1038,210200
-122.25,37.77,1527,208800
-122.25,37.77,859,197900
-122.26,37.78,970,201300
-122.26,37.78,1045,190800
-122.27,37.78,1408,207900
-122.27,37.78,1222,215300
-122.27,37.78,1169,212900
-122.27,37.78,2020,292700
-122.28,37.79,4145,275000
-122.3,37.77,2038,200000
-122.28,37.78,5154,173400
-122.29,37.78,1241,102200
-122.28,37.77,1468,220800
-122.28,37.77,3997,242800
-122.29,37.76,2873,265400
-122.28,37.78,1487,219000
-122.26,37.77,1670,282100
-122.27,37.77,2252,372000
-122.27,37.77,1731,225800
-122.27,37.77,1710,220800
-122.27,37.77,2388,234500
-122.25,37.77,2156,254200
-122.26,37.77,1565,351800
-122.26,37.77,1704,275000
-122.26,37.77,1210,405400
-122.26,37.77,2097,228100
-122.26,37.77,1848,234000
-122.24,37.77,955,162500
-122.25,37.77,4329,243400
-122.23,37.76,3011,273800
-122.23,37.76,1049,248500
-122.24,37.76,2504,244000
-122.24,37.76,1846,240900
-122.23,37.76,1705,306300
-122.23,37.75,1542,240000
-122.24,37.75,891,247100
-122.24,37.75,4051,286600
-122.24,37.76,2646,266700
-122.24,37.76,2428,229800
-122.24,37.76,2567,229300
-122.24,37.73,7031,228400
-122.25,37.74,1914,206200
-122.24,37.72,18634,350700
-122.27,37.73,5785,231000
-122.25,37.76,2876,252900
-122.27,37.74,6909,353900
-122.27,37.77,5679,291700
-122.28,37.75,1156,100000
-122.06,37.77,14316,341600
-122.06,37.73,3596,412500
-122.06,37.71,3541,248600
-122.07,37.71,1808,254900
-122.07,37.71,2879,241500
-122.07,37.72,3204,295200
-122.08,37.72,3866,340400
-122.08,37.72,2476,274700
-122.08,37.71,2211,238600
-122.09,37.71,2663,266400
-122.1,37.72,2599,330200
-122.11,37.71,4569,206800
-122.1,37.7,2973,209200
-122.1,37.69,3115,195800
-122.09,37.71,1843,253500
-122.09,37.7,2053,241800
-122.1,37.71,6740,252500
-122.09,37.7,1751,263900
-122.08,37.71,1663,227000
-122.08,37.71,3716,220900
-122.08,37.7,2718,259300
-122.07,37.7,1420,232500
-122.06,37.7,1893,231600
-122.06,37.7,3906,209400
-122.07,37.7,3400,223200
-122.08,37.7,3402,209900
-122.09,37.7,4413,208200
-122.07,37.69,2304,203800
-122.08,37.69,2350,195700
-122.07,37.69,5914,190500
-122.08,37.69,1575,181000
-122.08,37.69,1414,184900
-122.08,37.68,848,190800
-122.08,37.68,3051,242200
-122.09,37.69,4296,188300
-122.15,37.74,2898,183500
-122.14,37.74,1071,204200
-122.14,37.73,2619,251900
-122.15,37.74,1494,187500
-122.16,37.73,2260,198200
-122.15,37.74,1394,219000
-122.15,37.73,1028,275000
-122.15,37.73,3758,245400
-122.17,37.73,2163,177500
-122.16,37.73,1699,171600
-122.17,37.73,1555,183300
-122.16,37.73,1114,175000
-122.18,37.72,1498,156700
-122.18,37.71,726,157500
-122.17,37.71,890,179800
-122.18,37.7,2639,205500
-122.18,37.7,2562,178900
-122.19,37.71,361,262500
-122.17,37.72,3008,165000
-122.17,37.72,1369,159700
-122.17,37.72,1692,158300
-122.16,37.72,1007,144800
-122.17,37.72,3783,166300
-122.16,37.71,1507,191000
-122.16,37.71,666,175000
-122.16,37.72,2229,137500
-122.15,37.73,2215,141700
-122.15,37.72,1616,210900
-122.15,37.72,1190,198300
-122.15,37.72,4169,157400
-122.14,37.73,2024,264700
-122.14,37.73,1723,218400
-122.14,37.73,2264,235100
-122.13,37.73,1996,341800
-122.13,37.72,2862,367300
-122.13,37.72,2183,243500
-122.12,37.71,1037,167900
-122.13,37.72,1134,371200
-122.14,37.72,786,218900
-122.14,37.72,1397,202700
-122.13,37.72,2315,186200
-122.13,37.71,1613,188900
-122.13,37.71,1421,180000
-122.15,37.71,5778,202700
-122.14,37.71,3094,181700
-122.14,37.71,3905,166800
-122.13,37.7,3046,183700
-122.13,37.7,3516,218000
-122.15,37.71,998,191500
-122.15,37.7,1464,194700
-122.14,37.7,1463,187200
-122.13,37.7,4124,223100
-122.13,37.69,2380,271300
-122.14,37.7,1266,194100
-122.16,37.7,2239,190400
-122.14,37.69,1571,189100
-122.15,37.69,1246,184600
-122.15,37.69,1501,197300
-122.15,37.7,1468,192600
-122.16,37.69,1118,192200
-122.16,37.7,1097,194600
-122.16,37.7,1719,193500
-122.17,37.7,1755,202600
-122.16,37.68,1687,83300
-122.17,37.69,2262,212600
-122.18,37.68,2087,187800
-122.16,37.69,1480,205700
-122.15,37.69,1545,192900
-122.15,37.68,2632,205200
-122.15,37.68,2261,213400
-122.15,37.69,1670,183600
-122.14,37.69,2141,178400
-122.14,37.68,3337,219200
-122.14,37.68,3184,183100
-122.1,37.69,2341,157100
-122.12,37.69,1197,157800
-122.13,37.69,1131,161700
-122.12,37.71,1164,152100
-122.12,37.7,3495,144900
-122.12,37.7,2488,179900
-122.12,37.69,2681,179100
-122.12,37.7,2495,159900
-122.11,37.7,1689,161400
-122.11,37.7,1298,170400
-122.11,37.7,2693,137500
-122.1,37.69,746,178400
-122.11,37.69,2444,155200
-122.11,37.69,1472,160900
-122.12,37.69,2227,167300
-122.03,37.69,200,340000
-121.97,37.64,1283,431000
-122.02,37.63,2445,301100
-122.04,37.63,1307,241900
-122.05,37.63,3785,162500
-122.04,37.66,2031,299200
-122.04,37.65,8299,315500
-122.05,37.68,7518,216800
-122.07,37.68,1815,218100
-122.06,37.68,5367,170300
-122.08,37.68,1167,275000
-122.08,37.68,2607,184100
-122.08,37.67,493,160000
-122.09,37.67,1252,175000
-122.09,37.68,1382,197500
-122.09,37.69,500,150000
-122.09,37.68,2333,205600
-122.09,37.68,1834,170300
-122.09,37.68,1415,190900
-122.1,37.68,1352,196900
-122.1,37.68,2116,174000
-122.11,37.68,1976,170200
-122.1,37.68,1779,180900
-122.1,37.67,3659,150500
-122.1,37.68,1892,167100
-122.12,37.68,1958,148900
-122.12,37.68,1553,196400
-122.12,37.68,2412,191100
-122.11,37.67,2110,187500
-122.12,37.68,2179,180600
-122.13,37.68,2457,182800
-122.13,37.68,2147,179300
-122.13,37.68,1676,179400
-122.14,37.68,2976,210300
-122.14,37.67,3036,192300
-122.15,37.67,2472,198100
-122.14,37.67,1487,196200
-122.13,37.67,2012,181600
-122.14,37.67,3342,186900
-122.14,37.67,3156,188300
-122.13,37.67,1748,184000
-122.12,37.67,3429,184700
-122.13,37.67,3592,179900
-122.11,37.67,1035,167200
-122.11,37.67,3028,165400
-122.09,37.67,2431,154000
-122.09,37.67,2069,153500
-122.09,37.66,1340,135400
-122.09,37.66,1160,158300
-122.05,37.68,2015,240700
-122.06,37.67,3882,180700
-122.07,37.67,3239,230600
-122.07,37.67,2932,210800
-122.07,37.67,2104,165300
-122.04,37.67,1694,254200
-122.04,37.67,3000,332600
-122.04,37.66,2419,350000
-122.07,37.66,2280,161200
-122.07,37.66,5031,179300
-122.08,37.66,1547,154300
-122.07,37.65,3300,161800
-122.08,37.65,5018,161900
-122.08,37.65,1813,165400
-122.08,37.66,1997,166600
-122.1,37.66,901,149700
-122.1,37.66,686,162100
-122.1,37.66,1954,152600
-122.09,37.65,2630,195200
-122.09,37.65,1130,190600
-122.09,37.65,1184,193800
-122.1,37.66,656,200600
-122.11,37.66,2544,150000
-122.1,37.66,1305,185300
-122.11,37.66,1755,172700
-122.11,37.66,2843,174100
-122.1,37.65,2538,194400
-122.1,37.64,1784,206700
-122.1,37.65,1797,204500
-122.1,37.65,410,175000
-122.12,37.65,162,137500
-122.1,37.63,9963,187200
-122.1,37.61,2361,173600
-122.13,37.66,862,163000
-122.11,37.65,4335,331600
-122.11,37.64,1487,197600
-122.11,37.64,3592,197900
-122.12,37.64,432,228100
-122.09,37.63,1457,189500
-122.09,37.64,1578,184200
-122.1,37.63,2172,180900
-122.08,37.64,1340,172000
-122.08,37.64,1116,177900
-122.09,37.64,1885,173100
-122.09,37.64,1180,172600
-122.08,37.64,5267,182100
-122.08,37.64,1897,179500
-122.08,37.63,767,176000
-122.08,37.63,691,192600
-122.08,37.64,786,182700
-122.07,37.64,5861,134900
-122.07,37.63,2784,157600
-122.07,37.64,4524,190900
-122.06,37.64,1468,158200
-122.06,37.64,1655,350000
-122.06,37.65,1227,158200
-122.06,37.64,1160,146100
-122.04,37.63,952,226700
-122.03,37.62,2072,198700
-122.03,37.62,2964,221200
-122.04,37.62,1032,208500
-122.04,37.62,657,204200
-122.04,37.62,1540,193200
-122.03,37.62,1298,209500
-122.03,37.61,1409,164900
-122.03,37.61,1383,161400
-122.04,37.61,1151,187000
-122.04,37.62,899,190400
-122.08,37.63,1793,156600
-122.08,37.62,2485,157300
-122.07,37.63,1931,168100
-122.07,37.63,2329,177600
-122.06,37.63,6711,208900
-122.06,37.63,1939,169200
-122.05,37.61,1642,163900
-122.08,37.63,1619,164700
-122.08,37.63,517,156900
-122.09,37.63,1570,168800
-122.09,37.63,1213,174100
-122.08,37.62,1826,206500
-122.08,37.61,2261,203900
-121.99,37.61,3666,217000
-122.02,37.6,1633,159600
-122.02,37.6,2155,159800
-122.02,37.6,1295,154300
-122.02,37.6,1295,149600
-122.03,37.61,1518,188600
-122.04,37.6,3314,238500
-122.06,37.6,3009,235300
-122.08,37.61,2605,261400
-122.06,37.6,5159,234400
-122.06,37.6,1726,231700
-122.08,37.59,1816,156300
-122.07,37.59,2578,222000
-122.08,37.58,2576,254400
-122.07,37.58,1644,244300
-122.07,37.58,1606,247000
-122.08,37.58,3349,236500
-122.07,37.59,3475,151400
-122.07,37.58,1893,213700
-122.04,37.59,1727,243600
-122.05,37.59,6243,212500
-122.03,37.6,2077,214700
-122.02,37.59,1165,213200
-122.03,37.59,4371,256000
-122.01,37.59,838,237500
-122.02,37.58,3052,178100
-122.01,37.58,4313,231800
-122.09,37.6,385,147900
-122.08,37.6,3046,191700
-121.97,37.57,4342,247600
-121.96,37.58,3575,283500
-121.98,37.58,4126,216900
-121.99,37.58,2878,282500
-122.0,37.58,4405,295600
-122.01,37.57,16199,281800
-122.04,37.58,14917,269800
-122.04,37.57,5719,231200
-122.07,37.57,8647,318300
-122.06,37.58,8112,253400
-122.05,37.57,10648,278200
-121.93,37.49,1150,300000
-122.07,37.52,14014,273500
-122.02,37.56,4332,223400
-122.02,37.56,1716,214500
-122.03,37.56,4981,220200
-122.03,37.56,8444,240300
-122.01,37.56,3028,158000
-122.01,37.55,2068,224200
-122.02,37.55,1325,177200
-122.01,37.56,2563,216100
-121.99,37.56,5505,269700
-121.99,37.56,6462,231200
-121.96,37.55,3746,162500
-121.97,37.56,8918,254000
-121.97,37.54,1949,196200
-121.97,37.55,4924,189400
-121.98,37.54,5133,220800
-121.99,37.55,6647,213800
-121.94,37.56,5674,442900
-121.95,37.55,10687,333400
-121.93,37.54,1354,352400
-121.94,37.54,3715,305300
-121.94,37.53,2095,259600
-121.95,37.54,3517,248900
-121.94,37.54,2537,356000
-121.96,37.54,5106,236000
-121.96,37.53,2215,218800
-121.96,37.53,2949,228000
-121.96,37.53,2375,235900
-121.97,37.54,2312,203200
-121.97,37.53,2277,197000
-121.97,37.53,2506,236400
-121.98,37.53,2829,223200
-121.98,37.53,3179,222700
-121.99,37.54,2332,225000
-121.99,37.54,3584,240100
-121.99,37.54,3046,227900
-121.99,37.55,2414,268600
-122.0,37.54,4133,275100
-122.01,37.55,2791,256300
-122.0,37.55,6103,332400
-122.01,37.54,2572,287600
-122.0,37.54,1910,298900
-122.01,37.53,1890,287600
-121.99,37.53,5405,222200
-121.97,37.52,3761,232600
-121.97,37.51,3333,258300
-121.97,37.52,4925,230900
-121.95,37.52,3994,196900
-121.96,37.51,5811,223500
-121.96,37.52,4211,223900
-121.93,37.53,5532,243500
-121.92,37.53,28258,451100
-121.89,37.49,4909,500001
-121.92,37.49,7441,193100
-121.92,37.48,4314,264400
-121.92,37.47,2016,246900
-121.91,37.47,5377,337300
-122.03,37.55,9167,284800
-122.03,37.55,3087,217300
-122.04,37.55,3170,291700
-122.04,37.54,2145,223800
-122.05,37.54,4209,223100
-122.05,37.55,4247,211300
-122.04,37.53,4458,218500
-122.04,37.5,407,156300
-122.06,37.54,6483,248200
-122.03,37.54,1867,186000
-122.03,37.54,2918,178200
-122.04,37.53,2316,190400
